,site_code,year,habitat.type,plot,ppt_ambient,ppt_drought,n_treat_days,perc_reduction,ppt_drought730,precip,AI,drtpct_map,drtpct_map730,amb_pct,amb_abspct,drtpct_map100,habitat.num,Extreme,Extreme.num,X,mass_category,prop.ave
48,capwhite.us,2020,Shrubland,13,344.7,117.198,373,66,253.59,204,0.1309,-0.4255,0.243088235,0.689705882,0.689705882,-42.55,2,NotExtreme,0,12,GRAMINOID,0.523246132
49,capwhite.us,2020,Shrubland,14,344.7,117.198,373,66,253.59,204,0.1309,-0.4255,0.243088235,0.689705882,0.689705882,-42.55,2,NotExtreme,0,12,GRAMINOID,0.523246132
50,capwhite.us,2020,Shrubland,1,344.7,117.198,373,66,253.59,204,0.1309,-0.4255,0.243088235,0.689705882,0.689705882,-42.55,2,NotExtreme,0,12,GRAMINOID,0.523246132
51,capwhite.us,2020,Shrubland,3,344.7,117.198,373,66,253.59,204,0.1309,-0.4255,0.243088235,0.689705882,0.689705882,-42.55,2,NotExtreme,0,12,GRAMINOID,0.523246132
52,cedarsav.us,2017,Grassland,7,842.518,675.08374,116,19.87307808,847.09,682,0.84,-0.010141144,0.242067449,0.235363636,0.235363636,-1.01411437,1,NotExtreme,0,14,GRAMINOID,0.747800841
53,cedarsav.us,2017,Grassland,3,842.518,675.08374,116,19.87307808,847.09,682,0.84,-0.010141144,0.242067449,0.235363636,0.235363636,-1.01411437,1,NotExtreme,0,14,GRAMINOID,0.747800841
54,cedarsav.us,2017,Grassland,28,842.518,675.08374,116,19.87307808,847.09,682,0.84,-0.010141144,0.242067449,0.235363636,0.235363636,-1.01411437,1,NotExtreme,0,14,GRAMINOID,0.747800841
55,cedarsav.us,2017,Grassland,21,842.518,675.08374,116,19.87307808,847.09,682,0.84,-0.010141144,0.242067449,0.235363636,0.235363636,-1.01411437,1,NotExtreme,0,14,GRAMINOID,0.747800841
56,cedarsav.us,2017,Grassland,15,842.518,675.08374,116,19.87307808,847.09,682,0.84,-0.010141144,0.242067449,0.235363636,0.235363636,-1.01411437,1,NotExtreme,0,14,GRAMINOID,0.747800841
57,cedartrait.us,2017,Grassland,8,758.952,570.76594,153,24.79551539,888.238,682,0.8372,-0.163099795,0.30240176,0.112832845,0.112832845,-16.30997947,1,NotExtreme,0,15,GRAMINOID,0.425191379
58,cedartrait.us,2017,Grassland,24,758.952,570.76594,153,24.79551539,888.238,682,0.8372,-0.163099795,0.30240176,0.112832845,0.112832845,-16.30997947,1,NotExtreme,0,15,GRAMINOID,0.425191379
59,cedartrait.us,2017,Grassland,31,758.952,570.76594,153,24.79551539,888.238,682,0.8372,-0.163099795,0.30240176,0.112832845,0.112832845,-16.30997947,1,NotExtreme,0,15,GRAMINOID,0.425191379
60,cedartrait.us,2017,Grassland,4,758.952,570.76594,153,24.79551539,888.238,682,0.8372,-0.163099795,0.30240176,0.112832845,0.112832845,-16.30997947,1,NotExtreme,0,15,GRAMINOID,0.425191379
61,cedartrait.us,2017,Grassland,11,758.952,570.76594,153,24.79551539,888.238,682,0.8372,-0.163099795,0.30240176,0.112832845,0.112832845,-16.30997947,1,NotExtreme,0,15,GRAMINOID,0.425191379
62,cerrillos.ar,2016,Shrubland,6,331.8225806,176.1935484,224,46.90127837,545.164404,390,0.2468,-0.548221671,0.397857446,-0.14917287,0.14917287,-54.82216708,2,Extr,1,16,GRAMINOID,0.617606931
