"","site_code","Extreme","mean_DS3","DS3LowerCI","DS3UpperCI","mean_drt","drtLowerCI","drtUpperCI"
"57","morient.ar","Shrubland_NotExtreme",-0.64441352680626,-1.23138508010838,-0.057441973504141,-0.348355066,-0.348355066,-0.348355066
"58","naposta.ar","Grassland_NotExtreme",-1.94944437319013,-3.07352463288059,-0.825364113499675,-0.346126582,-0.346126582,-0.346126582
"59","naqu.cn","Grassland_NotExtreme",-0.222872510104915,-0.587745021305282,0.142000001095451,-0.208456784,-0.208456784,-0.208456784
"60","nnss.us","Shrubland_NotExtreme",-0.787529776114694,-1.01827360229369,-0.5567859499357,-0.474786145,-0.474786145,-0.474786145
"61","nplatte.us","Shrubland_Extr",0.00246673808613271,-0.533343166742918,0.538276642915183,-0.453388492,-0.453388492,-0.453388492
"62","nyngan.au","Grassland_Extr",-0.531838120597538,-1.98950403697455,0.925827795779473,-0.825714286,-0.825714286,-0.825714286
"63","octc.us","Shrubland_Extr",-0.189615362605795,-0.397317398828425,0.0180866736168362,-0.426006042,-0.426006042,-0.426006042
"64","oklah.us","Grassland_NotExtreme",-0.233695433509328,-0.852565359454583,0.385174492435928,-0.057959778,-0.057959778,-0.057959778
"65","oreaa.us","Shrubland_Extr",-0.327067705748503,-0.766257194689491,0.112121783192485,-0.447799061,-0.447799061,-0.447799061
"66","oreac.us","Shrubland_Extr",-0.318585526558987,-0.898440295379194,0.26126924226122,-0.447799061,-0.447799061,-0.447799061
"67","paike.ar","Grassland_NotExtreme",-0.311608703850567,-0.850654802345441,0.227437394644308,-0.531082082,-0.531082082,-0.531082082
"68","passogavia.it","Grassland_Extr",0.0598988503397917,-0.011183143581401,0.130980844260984,-0.480719995,-0.480719995,-0.480719995
"69","pineta.es","Grassland_Extr",-0.462970647879084,-0.740690330071898,-0.185250965686269,-0.539314567,-0.539314567,-0.539314567
"70","plattev.us","Grassland_NotExtreme",-0.932484313628587,-6.50751801537578,4.6425493881186,-0.458142679,-0.458142679,-0.458142679
"71","pneburn.br","Grassland_Extr",-0.0503775569672255,-0.346257707413245,0.245502593478794,-0.385862375,-0.385862375,-0.385862375
"72","pneunburn.br","Grassland_Extr",-1.27215565173813,-1.68640398700352,-0.857907316472743,-0.385862375,-0.385862375,-0.385862375
"73","pozos.ar","Grassland_NotExtreme",0.655701405464671,-0.142949614461141,1.45435242539048,-0.424180328,-0.424180328,-0.424180328
"74","purdue.us","Grassland_NotExtreme",-0.380390307394597,-0.571663869230891,-0.189116745558304,-0.057313684,-0.057313684,-0.057313684
"75","quilpie.au","Grassland_Extr",-0.568226884813694,-1.46081100504675,0.32435723541936,-0.866920904,-0.866920904,-0.866920904
"76","rhijn.nl","Grassland_Extr",-0.267797929057011,-0.556050051307794,0.020454193193772,-0.599695829,-0.599695829,-0.599695829
"77","riomayo.ar","Shrubland_Extr",-0.353256288639361,-0.65173779115648,-0.0547747861222422,-0.741853782,-0.741853782,-0.741853782
"78","sclaudio.ar","Grassland_NotExtreme",-0.469588076721162,-1.60689081068646,0.667714657244134,-0.128977929,-0.128977929,-0.128977929
"79","scruzh.us","Grassland_NotExtreme",0.194079649185303,-0.209114050615542,0.597273348986149,-0.305779866,-0.305779866,-0.305779866
"80","scruzl.us","Grassland_NotExtreme",0.0239579534021626,-0.245883365719301,0.293799272523626,-0.460080537,-0.460080537,-0.460080537
"81","scruzm.us","Grassland_NotExtreme",-0.302744962353789,-0.878646230993555,0.273156306285977,-0.385261745,-0.385261745,-0.385261745
"82","sedgwick.us","Grassland_Extr",-0.491675199485644,-1.08072824570318,0.0973778467318915,-0.648421053,-0.648421053,-0.648421053
"83","sevblack.us","Grassland_Extr",-1.08069682468498,-1.98699865626015,-0.174394993109803,-0.658976324,-0.658976324,-0.658976324
"84","sevblue.us","Grassland_Extr",-0.244453604899201,-0.493734383129676,0.00482717333127358,-0.693866667,-0.693866667,-0.693866667
