"","site_code","Eco.Extr","Extreme","mean_DS3","n","sd","se","LowerCI","UpperCI","Sig","logAI"
"27","dang.cn","Grassland_Extr","Extr",0.0754942729069675,5,0.26402557702029,0.118075827603195,-0.252336780684101,0.403325326498037,TRUE,-0.914791855750419
"28","eea.br","Grassland_NotExtreme","NotExtreme",-0.116919048673315,5,0.484770438665185,0.216795930867549,-0.718841049757321,0.485002952410691,TRUE,0.059023340449461
"29","elvadrt.ee","Grassland_Extr","Extr",-0.347527951552126,3,0.162112110390863,0.0935954705730633,-0.750236758505502,0.0551808554012507,TRUE,0.0902976379807806
"30","esw.ca","Grassland_Extr","Extr",-0.225462043282954,3,0.589298519713786,0.340231658989803,-1.68936071958262,1.23843663301671,TRUE,0.0893835611346854
"31","falls.au","Grassland_NotExtreme","NotExtreme",0.0500115397510614,3,0.18322121011366,0.10578281498037,-0.405135177884812,0.505158257386934,TRUE,0.691295467196471
"32","freiburg.de","Grassland_NotExtreme","NotExtreme",-0.240812201407546,4,0.119329011546985,0.0596645057734923,-0.430691287362975,-0.0509331154521173,FALSE,0.0285874568519125
"33","gmgranite.us","Shrubland_NotExtreme","NotExtreme",0.383108679817934,7,0.221833387538565,0.0838451394168653,0.177947014517904,0.588270345117964,FALSE,-1.73386799081228
"34","gmmolar.us","Shrubland_NotExtreme","NotExtreme",0.314278227304241,7,0.415301765124747,0.156969312795177,-0.0698118444403583,0.698368299048841,TRUE,-1.7561992938295
"35","guaribas.br","Grassland_Extr","Extr",-0.683814267235793,3,0.476984316153122,0.275387023330235,-1.86870899490521,0.50108046043362,TRUE,-0.213936070563297
"36","haibei.cn","Grassland_NotExtreme","NotExtreme",-0.260727452882324,3,0.311139211698707,0.179636307629697,-1.03364010226735,0.512185196502704,TRUE,-0.41415273650573
"37","hard.us","Shrubland_NotExtreme","NotExtreme",0.109422914793368,3,0.290723807501798,0.167849468520996,-0.612775059125493,0.831620888712229,TRUE,-0.868453402459995
